Tidsstempel,I have read and understood the above consent statement and agree to participate.,What is your age?,What is your gender?,In which city do you live in? (answer in postal code),What types of events do you enjoy attending? (Select all that apply),Which of the following categories interesst you? (Select all that apply),How often do you attend events?,How far are you willing to travel for an event?,How important is it for you to meet new people at events?,What age are the people you typically connect with?,What gender are the people you typically connect with? (Select all that apply),How often do you maintain contact with new people you connect with at events?,How often do you wish you maintained contact with new people you connected with at events?
27/05/2024 17.49.16,I agree to participate,23,Female,8000,"Party, Networking, Retreat, Race","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,Within my city,4,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 18.23.41,I agree to participate,58,Female,24850,Performance (e.g. concerts),"Music, Education",Rarely,Anywhere in Denmark,3,Same age as myself,Other,Sometimes,Sometimes
27/05/2024 20.25.58,I agree to participate,23,Male,1310,"Festival, Party, Conference","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,To neighboring cities,5,Same age as myself,Male,Never,Never
27/05/2024 20.48.50,I agree to participate,22,Female,8520,"Party, Conference, Attraction, Performance (e.g. concerts), Retreat, Seminar, Games","Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Travel & Outdoor",Once a month,Anywhere in Denmark,5,Same age as myself,"Female, Genderqueer, Other",Sometimes,Sometimes
27/05/2024 21.45.21,I agree to participate,22,Male,8000,"Attraction, Performance (e.g. concerts), Games","Food & Drink, Health, Music, Business, Film & Media",Once a month,To neighboring cities,3,Older than myself,Female,Never,Sometimes
27/05/2024 22.45.47,I agree to participate,21,Female,2300,"Conference, Retreat","Performing and Visual Arts, Spirituality",Rarely,Within my city,5,Older than myself,"Female, Genderqueer",Never,Never
27/05/2024 22.46.39,I agree to participate,20,Female,8200,"Festival, Party","Food & Drink, Music, Education, Film & Media, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,Within my city,4,Same age as myself,"Female, Genderqueer",Sometimes,Always
27/05/2024 22.49.51,I agree to participate,24,Female,9000,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat, Seminar","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",4,Same age as myself,"Female, Male, Genderqueer, Other",Sometimes,Sometimes
27/05/2024 22.54.53,I agree to participate,26,Female,8000,"Festival, Party, Conference, Attraction, Networking, Performance (e.g. concerts), Retreat, Race, Seminar, Games","Food & Drink, Health, Music, Business, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor",Multiple times a week,To neighboring cities,4,Same age as myself,"Female, Male, Genderqueer",Sometimes,Sometimes
27/05/2024 23.48.39,I agree to participate,22,Female,5260,"Festival, Party, Conference, Networking, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor",Rarely,Anywhere in Denmark,3,Same age as myself,Female,Sometimes,Always
